x,y,wetdry,assumption,date,blue,green,red,NIR,missing,NDWI,p
535395.44,3541912.99,wet,assumed perennial,2022-02-03,432.22,578.22,750.00,1347.78,0,-0.40,0
535390.78,3541914.78,wet,assumed perennial,2022-02-03,428.22,732.89,908.89,1793.56,0,-0.42,0
535390.78,3541914.78,wet,assumed perennial,2022-02-03,461.89,608.11,790.33,1464.00,0,-0.41,0
535386.11,3541916.57,wet,assumed perennial,2022-02-03,435.33,737.67,913.44,1811.78,0,-0.42,0
535386.11,3541916.57,wet,assumed perennial,2022-02-03,475.44,620.22,783.22,1502.22,0,-0.42,0
535381.44,3541918.36,wet,assumed perennial,2022-02-03,524.44,819.33,981.00,1838.89,0,-0.38,0
535381.44,3541918.36,wet,assumed perennial,2022-02-03,528.67,643.44,810.00,1637.56,0,-0.44,0
535376.77,3541920.15,wet,assumed perennial,2022-02-03,484.22,758.11,909.44,1679.89,0,-0.38,0
535376.77,3541920.15,wet,assumed perennial,2022-02-03,536.44,653.00,817.11,1629.78,0,-0.43,0
535404.78,3541909.41,wet,assumed perennial,2022-02-03,360.78,619.89,758.67,1476.00,0,-0.41,0
535358.10,3541927.32,wet,assumed perennial,2022-02-03,466.89,720.67,877.56,1616.11,0,-0.38,0
535358.10,3541927.32,wet,assumed perennial,2022-02-03,520.44,616.44,786.44,1529.00,0,-0.43,0
535362.77,3541925.53,wet,assumed perennial,2022-02-03,368.11,629.44,757.78,1455.89,0,-0.40,0
535362.77,3541925.53,wet,assumed perennial,2022-02-03,488.00,613.67,770.11,1420.56,0,-0.40,0
535367.44,3541923.74,wet,assumed perennial,2022-02-03,369.00,625.89,743.89,1452.44,0,-0.40,0
535367.44,3541923.74,wet,assumed perennial,2022-02-03,490.00,632.00,791.00,1442.56,0,-0.39,0
535372.10,3541921.95,wet,assumed perennial,2022-02-03,412.67,684.67,815.11,1548.33,0,-0.39,0
535372.10,3541921.95,wet,assumed perennial,2022-02-03,516.89,642.56,803.56,1575.89,0,-0.42,0
535353.38,3541928.93,wet,assumed perennial,2022-02-03,489.33,725.33,903.56,1617.78,0,-0.38,0
535353.38,3541928.93,wet,assumed perennial,2022-02-03,515.78,607.11,777.67,1501.89,0,-0.42,0
535348.44,3541929.69,wet,assumed perennial,2022-02-03,429.00,684.00,865.11,1550.78,0,-0.39,0
535348.44,3541929.69,wet,assumed perennial,2022-02-03,493.22,609.33,754.67,1446.11,0,-0.41,0
535343.50,3541930.46,wet,assumed perennial,2022-02-03,356.33,600.78,771.78,1502.78,0,-0.43,0
535343.50,3541930.46,wet,assumed perennial,2022-02-03,458.00,593.00,728.00,1401.33,0,-0.41,0
535264.45,3541942.72,wet,assumed perennial,2022-02-03,320.33,550.33,706.44,1378.22,0,-0.43,0
535150.80,3541960.35,wet,assumed perennial,2022-02-03,443.56,560.33,732.33,1411.44,0,-0.43,0
535126.10,3541964.18,wet,assumed perennial,2022-02-03,426.00,693.78,880.67,1563.89,0,-0.39,0
535126.10,3541964.18,wet,assumed perennial,2022-02-03,475.56,592.56,773.67,1447.89,0,-0.42,0
535165.63,3541958.05,wet,assumed perennial,2022-02-03,354.67,602.44,781.67,1597.89,0,-0.45,0
535165.63,3541958.05,wet,assumed perennial,2022-02-03,407.33,536.78,703.33,1398.22,0,-0.45,0
535160.69,3541958.81,wet,assumed perennial,2022-02-03,328.89,579.56,735.22,1505.56,0,-0.44,0
535131.04,3541963.41,wet,assumed perennial,2022-02-03,471.22,594.67,786.89,1463.33,0,-0.42,0
535160.69,3541958.81,wet,assumed perennial,2022-02-03,411.44,542.44,699.67,1380.44,0,-0.44,0
535170.57,3541957.28,wet,assumed perennial,2022-02-03,408.56,554.67,697.11,1434.67,0,-0.44,0
535175.51,3541956.52,wet,assumed perennial,2022-02-03,352.56,630.00,817.67,1770.00,0,-0.47,0
535175.51,3541956.52,wet,assumed perennial,2022-02-03,412.89,558.33,702.11,1452.67,0,-0.44,0
535195.27,3541953.45,wet,assumed perennial,2022-02-03,291.22,528.11,663.33,1383.44,0,-0.45,0
535195.27,3541953.45,wet,assumed perennial,2022-02-03,439.67,539.11,682.67,1340.56,0,-0.43,0
535170.57,3541957.28,wet,assumed perennial,2022-02-03,349.11,612.11,793.11,1727.89,0,-0.48,0
535131.04,3541963.41,wet,assumed perennial,2022-02-03,413.56,685.44,886.33,1678.22,0,-0.42,0
535135.98,3541962.65,wet,assumed perennial,2022-02-03,470.11,588.89,786.00,1493.56,0,-0.43,0
530539.31,3544473.64,wet,assumed perennial,2022-02-03,472.56,811.89,937.00,1819.11,0,-0.38,0
530539.31,3544473.64,wet,assumed perennial,2022-02-03,599.89,749.44,954.44,1773.11,0,-0.41,0
535121.16,3541964.95,wet,assumed perennial,2022-02-03,421.00,678.11,855.44,1509.11,0,-0.38,0
535121.16,3541964.95,wet,assumed perennial,2022-02-03,463.89,598.00,765.33,1377.33,0,-0.39,0
535150.80,3541960.35,wet,assumed perennial,2022-02-03,374.56,658.00,820.78,1694.00,0,-0.44,0
535145.86,3541961.11,wet,assumed perennial,2022-02-03,398.89,711.44,890.67,1809.56,0,-0.44,0
535145.86,3541961.11,wet,assumed perennial,2022-02-03,445.67,570.33,754.44,1486.56,0,-0.45,0
535155.75,3541959.58,wet,assumed perennial,2022-02-03,356.89,624.22,784.11,1591.67,0,-0.44,0
535259.50,3541943.49,wet,assumed perennial,2022-02-03,387.22,500.33,649.89,1236.89,0,-0.42,0
